resolved_law_id,resolved_law_name,detail_number,occurrence_count
141/1961 Sb.,Zákon o trestním řízení soudním (trestní řád),265b,349601
99/1963 Sb.,Občanský soudní řád,237,290321
150/2002 Sb.,Zákon soudní řád správní,60,155327
99/1963 Sb.,Občanský soudní řád,241a,146934
2/1993 Sb.,Usnesení předsednictva České národní rady o vyhlášení LISTINY ZÁKLADNÍCH PRÁV A SVOBOD jako součástí ústavního pořádku České republiky,36,123376
182/1993 Sb.,Zákon o Ústavním soudu,43,121653
150/2002 Sb.,Zákon soudní řád správní,103,108977
150/2002 Sb.,Zákon soudní řád správní,78,103968
141/1961 Sb.,Zákon o trestním řízení soudním (trestní řád),265i,90620
150/2002 Sb.,Zákon soudní řád správní,75,86298
99/1963 Sb.,Občanský soudní řád,243b,81805
150/2002 Sb.,Zákon soudní řád správní,120,75285
150/2002 Sb.,Zákon soudní řád správní,110,75241
141/1961 Sb.,Zákon o trestním řízení soudním (trestní řád),2,71867
150/2002 Sb.,Zákon soudní řád správní,109,67640
